                     Name                      KIT DE ENSAMBLE                                                idKit         
1.- ACERO DE ESTRUCTURA PLACAS                 KIT PLACAS DOLLY ANCHO-2E- ESTANDAR 1                       KAPL-ESDA-01
2.- ACERO DE ESTRUCTURA PERFILES               KIT PERFILES DOLLY ANCHO-2E-ESTANDAR 1                      KAPE-ESDA-01
3.- ACERO SUSPENSION                                                                                 
4.- ACERO RETRACTIL                                                                                  
5.- CONSUMIBLES DOLLY                          KIT DE CONSUMIBLES DOLLY                                    KCGE-ESDA-01
6.- REFACCIONES DOLLY                          KIT BISAGRAS PARA LANZA DE DOLLY TIPO A                     
7.- ARGOLLA, REFACCIONES                       KIT ARGOLLA PREMIER DE 6 BARRENOS PARA DOLLY TIPO A         KRES-APDA-01
8.- QUINTA RUEDA, REFACCIONES                  KIT QUINTA RUEDA FONTAINE SL7FMAH7375                       
9.- SUSPENSION DE AIRE, REFACCIONES            KIT SUSPENSIÓN FLEET ROAD                                   
10.- EJES                                      KIT EJE 77.5 BIRLO CORTO ACEITE FLEET ROAD                  
11.- EJE RETRACTIL, REFACCIONES                                                                      
12.- PINTURA                                   KIT PINTURA COLOR DOLLY                                     KPGE-CODA-01
13.- SISTEMA NEUMATICO FRENOS                  KIT DE SISTEMA DE FRENOS DOLLY A (POWER PRO)                KNFR-2EDA-02
14.- SISTEMA NEUMATICO SUSPENSION              KIT SISTEMA DE AIRE PARA SUSPENCIÓN DOLLY A                 KNSU-2EDA-01
15.- SISTEMA ELECTRICO                         KIT SISTEMA ELECTRICO DOLLY PLAFONES REDONDOS ACP/POWER PRO 
16.- PUBLICIDAD                                KIT PUBLICIDAD DOLLY "A"                                    KPGE-ESDA-01
17.- RINES                                     KIT DE RINES AMPRO ACERO 24.5 -1 EJE                        KLRI-CAMU-01
18- LLANTAS                                    KIT DE LLANTA CHINA 11R/ 24.5 - 1 EJE                       KLLL-LHMU-01
